issue,count_in_worst100
NOTE_PAIR_ERRORS,83
FLAT_VELOCITY,81
PERCUSSION_CLUTTER,68
DRUM_CORE_WEAK_OR_NONSTANDARD,44
VERY_HIGH_NOTE_DENSITY,26
OVERLAPPING_SAME_NOTE,22
MICRO_GATE,22
PARSE_FAIL,10
EXTREME_MELODIC_REGISTER,9
HUGE_PITCH_RANGE,3
DRUM_VERY_LOW_ELEMENT_DIVERSITY,2
EXCESSIVE_LONG_GATES_CH5,2
PROGRAM_CHURN,2
EXCESSIVE_LONG_GATES_CH13,1
EXCESSIVE_LONG_GATES_CH14,1
MANY_EMPTY_TRACKS,1
EXCESSIVE_LONG_GATES_CH1,1
EXCESSIVE_LONG_GATES_CH3,1
EXCESSIVE_LONG_GATES_CH4,1
EXCESSIVE_LONG_GATES_CH16,1
