rank,score,parse_ok,name,total_notes,channels_with_notes,melodic_channels,drum_notes,orphan_off,stuck_notes,duplicate_on,duration_beats,issues
1,0.0,False,Midi (1)/Muske/ZAPALIT CU SVIJEC.KAR,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
2,0.0,False,Midi (1)/Muske/JESENJE LISCE.MID,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
3,0.0,False,Midi (1)/Narodne/PODIGLA ME IZ PEP.mid,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
4,0.0,False,Midi (1)/Tamburaske/Tiho noci.MID,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
5,0.0,False,Midi (1)/Narodne/MALO PO MALO.MID,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
6,0.0,False,PODIGLA ME IZ PEP.mid,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
7,0.0,False,MALO PO MALO.MID,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
8,0.0,False,ROMALE ROMALI.mid,,,,,,,,,PARSE_FAIL:ValueError:NO_MTHD
9,0.0,False,Midi (1)/zenske/DANIJELA MIX.mid,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
10,0.0,False,PITAJU ME UMOM KRAJU.MID,,,,,,,,,PARSE_FAIL:ValueError:RUNNING_STATUS_WITHOUT_STATUS
11,33.73,True,Midi (1)/Narodne/988 Mitar.MID,11846,13,12,3111,0,0,532,352.0,"NOTE_PAIR_ERRORS:4497 | OVERLAPPING_SAME_NOTE:532 | MICRO_GATE:ch11=1.00 | FLAT_VELOCITY:ch4,ch9,ch6,ch5,ch3,ch1 | EXTREME_MELODIC_REGISTER:ch9"
12,33.73,True,988 Mitar.MID,11846,13,12,3111,0,0,532,352.0,"NOTE_PAIR_ERRORS:4497 | OVERLAPPING_SAME_NOTE:532 | MICRO_GATE:ch11=1.00 | FLAT_VELOCITY:ch4,ch9,ch6,ch5,ch3,ch1 | EXTREME_MELODIC_REGISTER:ch9"
13,36.0,True,U kafani punoj dima.mid,14213,12,11,6731,25344,0,14,369.25,"NOTE_PAIR_ERRORS:25344 | FLAT_VELOCITY:ch1,ch4,ch5,ch6,ch8,ch15 | VERY_HIGH_NOTE_DENSITY:ch2 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
14,39.5,True,SVIDJA MI SE TVOJA DEVOJKA.mid,14696,15,14,8094,6704,0,2,600.95,NOTE_PAIR_ERRORS:6704 | FLAT_VELOCITY:ch15 | EXTREME_MELODIC_REGISTER:ch8 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
15,41.5,True,Midi (1)/Narodne/TVOJOM ULICOM VISE NE PROLAZIM kar.KAR,8154,16,15,4599,0,0,0,524.98,"NOTE_PAIR_ERRORS:4596 | FLAT_VELOCITY:ch1,ch4,ch5 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
16,41.5,True,TVOJOM ULICOM VISE NE PROLAZIM kar.KAR,8154,16,15,4599,0,0,0,524.98,"NOTE_PAIR_ERRORS:4596 | FLAT_VELOCITY:ch1,ch4,ch5 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
17,42.39,True,"Midi (1)/Narodne/ONA,ONA.mid",6519,11,10,2639,0,0,0,512.0,"NOTE_PAIR_ERRORS:2432 | FLAT_VELOCITY:ch1,ch5,ch6 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
18,42.39,True,"ONA,ONA.mid",6519,11,10,2639,0,0,0,512.0,"NOTE_PAIR_ERRORS:2432 | FLAT_VELOCITY:ch1,ch5,ch6 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
19,43.0,True,OVO NECE IZACI NA DOBRO kar Dara Bubamara.mid,19205,13,12,4599,7696,0,187,347.12,"NOTE_PAIR_ERRORS:7696 | FLAT_VELOCITY:ch5,ch8,ch14,ch7,ch15 | VERY_HIGH_NOTE_DENSITY:ch1,ch2 | PERCUSSION_CLUTTER"
20,45.0,True,Midi (1)/Narodne/DRUGOVI SE MOJI VEC POZENILI.mid,8560,11,10,4250,0,0,6,600.0,"NOTE_PAIR_ERRORS:4250 | FLAT_VELOCITY:ch2,ch3,ch4,ch5,ch7,ch9 | VERY_HIGH_NOTE_DENSITY:ch1 | PERCUSSION_CLUTTER"
21,45.0,True,Bozo_Vorotovic_-_Kafana_mi_sve_.mid,8560,11,10,4250,0,0,6,596.61,"NOTE_PAIR_ERRORS:4250 | FLAT_VELOCITY:ch2,ch3,ch4,ch5,ch7,ch9 | VERY_HIGH_NOTE_DENSITY:ch1 | PERCUSSION_CLUTTER"
22,45.0,True,DRUGOVI SE MOJI VEC POZENILI.mid,8560,11,10,4250,0,0,6,600.0,"NOTE_PAIR_ERRORS:4250 | FLAT_VELOCITY:ch2,ch3,ch4,ch5,ch7,ch9 | VERY_HIGH_NOTE_DENSITY:ch1 | PERCUSSION_CLUTTER"
23,47.4,True,Midi (1)/Muske/SAM PAO SAM SE UBIO.KAR,8444,9,8,3909,384,0,1296,425.84,"NOTE_PAIR_ERRORS:2339 | OVERLAPPING_SAME_NOTE:1296 | FLAT_VELOCITY:ch2,ch3,ch5,ch7 | PERCUSSION_CLUTTER"
24,47.8,True,Midi (1)/Narodne/DVADESETCETIRI  SATA.MID,13473,12,11,3108,0,0,0,344.0,"NOTE_PAIR_ERRORS:2156 | MICRO_GATE:ch4=0.61 | FLAT_VELOCITY:ch7,ch1 | VERY_HIGH_NOTE_DENSITY:ch4 | PERCUSSION_CLUTTER"
25,47.8,True,Midi (1)/Narodne/24 SATA.MID,13473,12,11,3108,0,0,0,344.0,"NOTE_PAIR_ERRORS:2156 | MICRO_GATE:ch4=0.61 | FLAT_VELOCITY:ch7,ch1 | VERY_HIGH_NOTE_DENSITY:ch4 | PERCUSSION_CLUTTER"
26,47.8,True,DVADESETCETIRI  SATA.MID,13473,12,11,3108,0,0,0,344.0,"NOTE_PAIR_ERRORS:2156 | MICRO_GATE:ch4=0.61 | FLAT_VELOCITY:ch7,ch1 | VERY_HIGH_NOTE_DENSITY:ch4 | PERCUSSION_CLUTTER"
27,47.8,True,24 SATA.MID,13473,12,11,3108,0,0,0,344.0,"NOTE_PAIR_ERRORS:2156 | MICRO_GATE:ch4=0.61 | FLAT_VELOCITY:ch7,ch1 | VERY_HIGH_NOTE_DENSITY:ch4 | PERCUSSION_CLUTTER"
28,48.0,True,Midi (1)/Narodne/DIGI DIGI DAJ.MID,7724,6,5,4757,0,0,0,558.6,NOTE_PAIR_ERRORS:4224 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
29,48.0,True,DIGI DIGI DAJ.MID,7724,6,5,4757,0,0,0,558.6,NOTE_PAIR_ERRORS:4224 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
30,48.38,True,Midi (1)/Muske/dalibor brun - da je slade zaspati dobro je srce vuce nije h.mid,13488,13,12,4452,4552,0,7,508.0,"NOTE_PAIR_ERRORS:4552 | FLAT_VELOCITY:ch8,ch15,ch4,ch5,ch12 | VERY_HIGH_NOTE_DENSITY:ch2 | PERCUSSION_CLUTTER"
31,48.66,True,Midi (1)/Narodne/SAD JE KASNO sasa matic.KAR,8547,13,12,3445,2072,0,124,420.18,NOTE_PAIR_ERRORS:2072 | OVERLAPPING_SAME_NOTE:124 | FLAT_VELOCITY:ch15 | EXTREME_MELODIC_REGISTER:ch11 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
32,48.66,True,SAD JE KASNO sasa matic.KAR,8547,13,12,3445,2072,0,124,420.18,NOTE_PAIR_ERRORS:2072 | OVERLAPPING_SAME_NOTE:124 | FLAT_VELOCITY:ch15 | EXTREME_MELODIC_REGISTER:ch11 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
33,50.42,True,Midi (1)/Narodne/OSTAVI ME.mid,7848,14,13,2401,0,0,0,398.0,"NOTE_PAIR_ERRORS:1859 | FLAT_VELOCITY:ch1,ch3,ch4,ch11,ch12,ch13 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
34,50.42,True,OSTAVI ME.mid,7848,14,13,2401,0,0,0,398.0,"NOTE_PAIR_ERRORS:1859 | FLAT_VELOCITY:ch1,ch3,ch4,ch11,ch12,ch13 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
35,50.5,True,Midi (1)/Narodne/NISI TI.MID,11281,11,10,5053,0,0,0,448.3,"NOTE_PAIR_ERRORS:5053 | FLAT_VELOCITY:ch5,ch2,ch14 | PERCUSSION_CLUTTER"
